Name,Address,Stars (Out of 10),Delivery Charges,Delivery Charges Description,Services Fee,Timing
Wimpy's Diner,347 Bayfield St #1,8.6,$1.99 Delivery Fee,The $1.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),8:00 AM - 7:00 PM
P_zza,50 Dunlop St E,8.9,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:00 PM
Magical Taste of China,62 Maple Ave,9.2,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:30 AM - 9:00 PM
The Dragon Restaurant,70 Essa Rd,9.2,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:15 PM
Guac Mexi Grill,555 Essa Rd,9.8,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:45 PM
The Wine Shop,555 Essa Rd #5,9.8,$5.19 Delivery Fee,The $5.19 delivery fee is based on the drive time to your location.,NA,11:00 AM - 6:30 PM
Twice The Deal Pizza,480 Mapleton Ave,9.8,$4.49 Delivery Fee,The $4.49 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:00 PM
Marble Slab Creamery & Poko Popcorn,307 Cundles Rd E i2,8.5,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 9:00 PM
Firehouse Subs,454 Bayfield St,9.1,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:00 PM
The Wine Shop,11 Bryne Dr,9.4,$4.69 Delivery Fee,The $4.69 delivery fee is based on the drive time to your location.,NA,11:00 AM - 6:30 PM
